Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well are the tutorials paced?,What track are you in?,,How well is the schedule paced?,#,How likely is it that you would recommend the Make School Summer Academy to a friend?,location,track,Start Date (UTC),Submit Date (UTC),Network ID,﻿ID,Location,Track,Week,Rating (Num),Schedule Pacing
"6/23/2016 15:55:12","3","4","Games","6/24/2016 13:32:01","2","00b836bda84e6bdbe780af97e249e59f","10","New York","summerApps","9/7/16 1:03","9/7/16 1:04","3212b7a834","134","San Francisco","Apps, Explorer","Week 1","3","Just right",
"6/23/2016 16:14:04","4","4","Games","6/24/2016 13:48:09","3","39dde6dc0e1e375845d756fc7e39fc5f","10","San Francisco","summerIntro","9/7/16 1:03","9/7/16 1:04","f4954355aa","36","Los Angeles","Apps","Week 1","4","A little too fast",
"6/24/2016 0:18:42","4","4","Apps","6/24/2016 13:49:23","4","5e56b9de91670b308cb98dd2848b8739","10","New York","summerIntro","9/7/16 1:03","9/7/16 1:05","3d69ca289b","117","San Francisco","Games","Week 1","4","Way too slow",
"6/24/2016 6:59:42","4","4","Intro","6/24/2016 13:53:25","3","641081d05785b47a0f17448625da0d49","9","Sunnyvale","summerApps (4-week)","9/7/16 1:04","9/7/16 1:06","261608f95d","253","","","Week 2","4","A little too fast",
"6/24/2016 9:40:16","4","5","Intro","6/24/2016 13:55:19","3","c29bdd4f5678d78b450f4494e0f53c8c","3","San Francisco","summerIntro","9/7/16 1:04","9/7/16 1:11","d6672ddf6f","350","New York City","Apps, Explorer","Week 1","4","Just right",
"6/23/2016 22:07:29","5","4","Intro","6/24/2016 13:41:53","3","9030d8a662b39b519b2b685834413d66","10","San Francisco","summerApps","9/7/16 1:09","9/7/16 1:13","088e6f938d","23","Redwood City","Apps","Week 1","5","Just right",
"6/24/2016 9:34:14","5","3","Intro","6/24/2016 13:46:23","3","1c07190c7caa72bf6b59cea48e1a4a97","8","San Francisco","summerApps","9/7/16 1:04","9/7/16 1:14","00f1d07a90","28","Los Angeles","Apps","Week 7","5","Just right",
"6/24/2016 7:03:34","3","5","Games","6/24/2016 13:46:42","2","27a63d6c24710feb52c0cfdef7e01175","3","New York","summerGames","9/7/16 1:14","9/7/16 1:15","e0724aac23","65","San Francisco","Apps","Week 1","5","A little too slow",
"6/24/2016 7:10:22","3","3","Games","6/24/2016 13:47:24","4","b47b95f84547d8347119de1da5faa46d","6","Singapore","summerApps","9/7/16 1:16","9/7/16 1:21","9eeec0f9bf","101","Santa Clara","Apps","Week 1","5","A little too slow",
"6/24/2016 7:03:41","3","3","Games","6/24/2016 13:47:25","5","828fafa477484f61d2ca5930fe99ad46","9","New York","summerGames","9/7/16 1:22","9/7/16 1:27","6c80fd2754","124","Santa Clara","Apps","Week 1","5","Just right",
"6/24/2016 7:04:59","4","3","Games","6/24/2016 13:47:36","3","7d70f1e30217d867f3c0f961462d8ae8","10","Sunnyvale","summerGames","9/7/16 1:28","9/7/16 1:29","6c04cd1a6e","157","Redwood City","Apps","Week 2","5","Just right",
